Q96NS5	P21854 
P61812	P14920
O15120	P31268
P51003	P60893
Q6ZVT6	Q8WXH6
P09543	Q96HL8
Q8WW14	Q2NL98
Q9H987	O43614
P04217	Q8N8R5
P48052	Q86Y39
Q9HB75	O75940
Q9H2K8	Q8IZP6
Q16581	P78423
Q32MQ0	A6NJV1
Q7Z7K2	Q9H3P7
Q96RC9	Q6PII5
Q86TC9	P86791
P60410	Q6NVH7
Q8N1F8	Q86UT8
Q8NGB9	Q9NP77
Q6P1R3	Q5VXH4
Q68DL7	Q7Z4U5
Q6ZMB0	Q96MF6
Q9BXP5	Q96NL1
Q96E35	A1L390
Q9UQP3	Q9P126
Q8TDZ2	Q96A54
Q9Y6R4	Q9NYN1
Q6R2W3	Q9UK13
Q99551	Q9P2Z0
Q5SRI9	Q96HP4
Q8NA54	P23515
Q8IWF2	O75828
Q76B58	Q96MP5
Q8WTR4	Q5EBM0
Q96HQ2	Q8IZN3
Q8N7B1	Q7L3B6
Q3SXM0	P52803
Q9NPI1	P13501
Q8N490	Q8IU54
Q8TD19	Q9GZT5
Q9UKL0	Q13319
Q8N4B4	Q9HC73
A6NHG9	P47992
Q9BZF1	Q8WVJ9
Q96DR5	A6NH11
O94988	Q8IZT8
P63313	Q8WV48
Q8N139	Q9NYZ3
Q2TAK8	Q9NY65
Q9BSG0	P63027
Q6ZS17	Q8NAT1
P26006	Q96AZ6
P00995	P07225
P00736	Q9H6L2
Q9BZK7	Q9Y662
Q13085	Q6ZMM2
Q49A17	P12277
Q9NZ94	Q9BY14
P31513	O60551
Q96DR4	Q9Y5Q6
Q5JTW2	Q7RTU7
P48637	Q8WVD3
Q8IYU4	Q15118
Q6ZRI6	P47872
Q9NV88	Q16667
P14867	Q9BSG5
Q8N0W4	O95433
Q07973	Q99735
P60411	Q9H3L0
Q5VXI9	Q16667
P25101	Q9P0W0
P69849	Q96PL2
O15085	O43776
Q8N142	Q13875
Q8N0Y7	Q9UBC9
Q96PX8	P0C869
P20742	Q92934
Q9NP60	P05362
Q8N394	Q9UK41
A6NI47	Q5JUR7
Q08881	Q9NYP8
Q6ZMB5	P17693
O43734	Q2VPA4
Q53SF7	Q8N392
Q99741	P39210
Q96A25	P34130
Q13724	P55290
Q9UGI9	Q96C36
Q9NR80	Q6NSJ2
Q6IPT4	Q03393
Q18PE1	Q96AJ9
A6NGU7	Q12840
Q9NY37	Q9NRS6
Q02383	Q9Y399
O14981	P51513
B1ANS9	Q9NWS8
P43146	Q8NGP8
Q9BUQ8	Q6J4K2
O75953	Q6ZVK8
Q53EV4	P42574
O43306	P18077
Q9BQE6	Q9NS26
Q15761	Q6NTF7
Q49MG5	Q9H341
O95302	Q96PB7
Q9NYL5	Q8WXG1
Q9H6H4	P06307
O75157	O60431
Q86TG1	Q9H607
Q86TH1	O43493
Q9Y5B9	O15355
P31327	Q9P227
Q6ZVT0	C9JXX5
Q9UH62	O75888
Q7Z6I6	Q8N7X1
Q9H223	P15085
Q86VZ6	Q9GZP4
Q63HQ2	Q8WUY9
Q6ZMP0	Q96G25
Q9H5Z1	P04035
Q86UA1	Q86VQ1
Q8IW00	P01111
Q6XYQ8	P47872
Q5T2N8	Q86YD3
Q86YW0	Q9Y333
Q14432	Q9HB58
Q8NBE8	Q9Y5N1
Q6IQ55	Q75T13
Q8NH59	P36404
Q6ZRR7	Q9P2E7
Q9BZD4	Q6PGN9
P07900	Q96M95
C9J6K1	A6NLX4
Q9UBY0	Q96MZ4
Q17RM4	Q9C0B5
Q96N19	Q96RJ0
P49802	Q92913
P15514	Q9Y6J6
Q9NWM0	Q9NWV4
Q96HP0	O43247
O75474	Q6P1L8
Q8NE28	Q68DU8
Q9Y4E1	Q9Y2U5
P23381	P01270
Q96QT6	Q13822
Q9H1D9	Q8IVY1
Q9HBU1	A6NLX4
Q13268	Q9H9Z2
Q14533	Q86WS3
Q92953	Q6NXR0
A0FGR8	Q9UJ90
Q7Z408	Q5JS13
Q17R55	P59768
Q07001	P08118
O15013	Q9BVC3
Q9BQK8	Q6P5R6
Q16134	Q96T92
P19883	Q99417
P57103	P58340
Q8TCT1	Q5T7W0
Q8NBR0	Q9BSH4
O60706	A6NC42
Q13508	Q8N5J4
Q9BXT4	P0CJ87
P78381	Q9H832
Q8N612	Q8IVW6
Q9BTF0	P19438
Q86W10	Q8N431
Q6UXF7	Q5PSV4
Q68DK2	Q9BYT8
Q8N413	A6NFU8
Q8NFU1	Q96S37
Q6ZSS7	Q9UG56
Q86XD5	Q9UBQ6
Q00722	P62899
Q9UKL0	Q06828
O43566	P61962
Q53S31	Q8IVH2
Q10570	Q96LU7
P29973	Q96R27
Q96PP8	Q8WUG5
O15050	Q1MSJ5
Q9NX05	Q14D33
Q9UK23	Q8IXN7
Q8N695	P21281
P35410	Q9UF47
Q92496	Q6AW86
P27694	O60404
Q15208	Q9BR26
Q96KW2	Q8IZS6
Q68D10	Q8N131
Q6UWW8	Q5JQC4
O95521	Q9HCN6
Q6ZRV2	P57737
Q96IY4	P28360
Q15031	Q8IV42
Q9P0Z9	Q9UBK9
P14151	Q9BV20
O43896	Q86YJ6
Q7Z442	P51843
Q5JQS5	Q8NDX9
Q76KP1	Q9H6T3
P55083	P01589
Q6ZRS4	P15169
Q8TC44	I3L0S3
P35749	A4QPB2
P43365	Q9NSA3
O60423	P05108
Q9P2R6	P48065
Q9H7T0	A6NIK2
Q2TAA2	Q96RP3
Q9Y691	Q8IZY5
F8WCA3	Q96RP9
P01042	Q53H12
Q9H583	P43403
O75602	Q9P032
Q9C009	P30793
Q9UM11	Q13547
Q9BXG8	Q4VC31
Q16134	O75264
Q9UH62	Q9BUA3
Q8NGW6	A6NLW8
Q9H2Y7	O43603
O75874	P06312
Q5U623	Q3LI59
Q08J23	Q9BYC2
Q8IZU8	O43929
O76080	Q8WWZ1
Q92523	P62750
P54750	P17174
Q8NAC3	P08579
Q9H900	Q9Y266
P35712	Q8NBX0
Q4G112	P78395
Q8N1E6	Q6UXB3
P13473	P06028
A2RU48	Q9NVV2
A1X283	Q8TCB0
Q3SY17	Q9Y2B9
Q8NC56	Q6L9T8
Q4G0S7	Q3LHN1
Q9UL62	Q6ZMT1
Q96T21	Q8N148
O60315	O43353
Q96T23	Q96EE3
Q9NVE4	Q7L0J3
Q9H0V1	Q9BU02
A6NMS3	A2VDF0
Q15612	Q96MZ4
Q5HYW3	A6NL88
Q16134	O60675
P49792	Q8N587
Q9P2S6	Q9NQV5
Q7Z7G1	Q96A46
P22532	P80108
Q96LD4	Q9XRX5
Q9Y620	E5RJM6
Q8J025	Q8TCX1
Q8N398	Q8NGP4
O15091	Q96GC5
P35548	I3L0S3
O00555	Q14344
Q4KMQ1	Q8NGR5
Q86X27	O60869
Q8NEZ4	Q8NDX9
P05091	Q92747
Q6NUN9	O43612
P23109	P28329
Q5VZI3	Q8N4T4
Q13621	O60508
Q562F6	O95411
O15523	Q9NS85
P07358	P13164
P06127	O75907
Q9Y6C9	Q3B7S5
P49591	Q8NGQ5
Q49A17	Q08648
Q13438	Q6UXX9
Q8NEN0	Q8WVM0
P00973	Q9NP80
Q8N0Z6	Q9HD15
Q9NR99	P20827
P54868	Q9Y2B9
Q7Z5D8	Q00994
P16109	O95678
Q504Y0	Q9Y274
Q96JH7	O75586
Q9UHC9	Q86YD3
Q8NDX2	P19526
Q13203	P12955
Q15760	C9JCN9
Q9UIX4	Q15615
Q8N465	C9JRZ8
Q9UBN1	O95158
Q6L9W6	P14651
Q8N8Z3	Q8TDP1
Q969X1	Q9Y576
Q8NH72	O43513
Q8NDP4	Q8NAA4
Q15910	H3BMG3
Q9NS84	Q9UHL4
Q6VMQ6	Q6ZVT0
O75165	Q2VYF4
Q14093	Q7Z309
P28290	P08709
Q8N697	Q14626
P01138	F2Z333
Q02241	Q9Y397
Q9Y3M9	Q8N392
P08237	P37088
Q96L21	O43805
Q8N594	Q8NGZ4
Q5H9S7	A6NGZ8
O76031	Q86VQ3
Q9BYW1	Q17RA5
Q6P3S6	Q06643
Q9BVP2	Q9Y278
Q8N398	Q13523
Q5T8R8	Q9BSD3
Q9H8Y5	H3BRN8
Q9UK96	Q8NDY8
P52888	Q9H0C2
Q9H1D0	Q9H7E9
Q13797	Q969M2
Q9BXR0	Q6U736
Q9HBY0	Q9BV35
P46781	Q9UIL1
Q15738	Q8N8A8
Q7Z7H3	Q9Y240
Q9HDC5	P05388
Q14999	Q96N06
Q5VTL8	P61158
I3L273	Q5T036
P56270	Q9P035
Q9P212	P78348
Q9UH03	Q8TDU9
Q7Z3B1	Q7RTU4
Q76FK4	Q96KB5
Q17RP2	Q99626
Q8N1T3	P43246
Q14435	Q8TAP8
Q6W3E5	Q86VD9
O15068	Q96S44
Q9P015	Q8NAE3
Q3LI61	Q96DB9
Q9Y2G8	Q8NBB4
O75935	Q16401
Q6J9G0	Q8TAD7
Q05209	P11168
O43825	O15318
Q12767	Q6UW02
Q86XS8	Q6PGN9
Q86X40	Q3KNV8
O43143	Q8TDQ7
Q96JT2	A6NDY0
Q92674	P08842
Q8N187	Q96A23
O75323	Q5I0X7
Q9NQW1	P04035
P51172	O43567
Q9BXT4	Q15650
Q8TDY8	Q7Z402
Q6URK8	E9PQ53
Q05BV3	Q96SL1
Q5JRX3	Q99584
P51178	Q96RQ1
Q53GA4	P63027
Q9NRG9	Q15846
Q4G0J3	Q00796
O60237	P47992
Q96RQ1	Q9UI14
P78395	Q8WYH8
Q9Y6X3	Q9UHC7
Q32M88	Q9ULX5
Q9NR97	P98172
P36871	P80365
Q7Z4H7	Q8NGN5
Q08050	Q5SGD2
P0CJ89	Q9Y234
O75891	Q8NER5
Q6QEF8	P22415
Q9UMZ3	O60381
P15259	Q02535
Q9NY74	Q53H82
Q7Z3H0	P07360
Q8NDZ2	Q5BIV9
Q14126	Q7LFX5
Q8TE60	Q86TM3
Q9ULS5	P11166
Q9H694	Q6BEB4
Q9H4W6	Q9BUU2
O15067	P61313
Q9BX40	O76093
Q8NEZ3	Q96PD5
P81408	Q8IWT1
Q6ZS17	Q69YI7
O00562	Q9NVM1
O75146	Q9UN30
Q9UI40	Q96L15
Q5VZE5	Q8N135
Q9UNY4	O96011
Q8N815	Q96DC9
P57057	Q14761
Q9NZB2	Q96BN6
Q86TH1	O75071
P78380	Q92952
Q6ZV77	Q96KX0
Q5VU97	P07998
P51857	Q9HC97
P42331	P06312
O43497	Q8NC56
O75084	P98066
Q8N9L9	P10153
Q8NAV2	Q8NC38
Q9BWF2	Q96R27
Q6IQ32	Q9BT23
P26440	O75937
Q9P2J3	Q8N5N7
P50238	Q6P6C2
Q8NFN8	Q8IW70
Q9HC35	Q2M3A8
P26439	Q8NH83
Q9Y4E1	Q8WUH2
Q9UIK4	Q9UBX7
Q92736	Q9H553
Q7Z4T8	Q9H488
Q8IZH2	A6NH00
P08620	Q9Y3E5
Q02161	Q719H9
P41225	A6NLU5
O94826	Q53G44
Q8WY54	Q5TG53
P00488	Q8NHS4
Q9H5V8	P22492
Q6ZWH5	Q9BRS8
Q8WXF1	P25942
P0CG40	O75956
Q9H2Y7	Q9Y577
Q9Y619	Q86U28
P60709	Q8NH60
Q9UBS9	Q5T0T0
Q9H0C2	A6NGC4
Q8WXG6	Q96JW4
Q8NHU3	Q8NBI6
Q8N8Q9	Q12887
O00472	Q5VWP3
Q8N4Q0	Q8NGF0
Q8TDD5	P20963
O14958	A8MTZ7
Q9UBU6	A5PLL7
Q86VW0	P55344
Q5JTV8	Q6PK18
Q8WXD0	Q13216
Q6VVX0	B8ZZ34
Q8WVP5	P35070
Q8IU68	Q9Y585
Q9BRS2	Q8TD55
Q96KD3	A6NH57
P43365	Q9BSG5
Q96NL8	Q8TBR7
Q9BPX6	A6NFE3
P49327	O15111
O60506	A8MTZ7
Q96M27	Q9HB07
Q9ULL4	P49720
A8MZ36	Q96QF7
P46937	Q13637
Q9HCE3	Q8NBI6
Q96KJ4	P15086
Q9P2C4	A8MT69
Q70CQ3	Q8IXL9
P31327	Q8IY42
Q8WV37	Q8NEG5
Q8TEC5	O43736
O15041	Q7LGA3
P09237	Q96PB7
Q5J8M3	Q8N9R6
Q58EX2	Q8TAL6
Q9UPX6	Q6ZUL3
Q8IYU4	Q6PIY5
Q16795	Q9BXC1
Q9UGP4	Q5VWK5
Q6ZNJ1	Q9BXS4
Q02297	Q5VXJ0
P13051	Q8N2C3
Q9HCU5	Q9P2E8
Q3ZCQ8	Q8TAI1
Q9Y5W8	Q8NGJ4
Q6ZR08	Q8WUY8
Q8N6Y1	Q96C10
P35606	Q9UHV8
Q96M91	Q9BQE9
Q8WWV6	Q8NFR3
O15072	Q02742
Q5XG87	Q6NUJ5
Q13888	Q6MZT1
Q9HB75	Q10588
Q9BYQ3	P61266
Q3YBM2	Q8N801
O60826	P37235
P50053	O95156
Q9UBP0	O60356
Q9NY64	P99999
Q8N5V2	Q9Y3X0
Q92834	Q8TE67
O94876	Q14CZ7
Q13085	Q8NGL0
P32239	Q9BTE0
Q8NGX0	Q9NPC1
Q15303	P06858
Q9UK10	P11217
Q9NX74	O95455
A2RUB1	Q86XJ1
Q8IUK5	Q8WVJ9
Q86XM0	Q13536
O60260	P01040
P47211	P42330
O95180	Q8IWS0
O43520	O95196
Q8WVI0	Q9H344
Q3SXY7	Q8N148
Q8IX03	E0CX11
B0I1T2	Q9GZT4
O60462	P04201
Q03188	Q99525
Q06190	Q5T5M9
Q14444	Q86Y97
Q86UA1	Q9Y4P3
P60410	Q9Y2B9
P49765	P01350
A6NLC5	Q9H8W3
Q9HCE1	Q7Z402
Q8N6T0	Q12926
O00408	Q9UF47
Q9BXM7	Q96PL2
O43896	Q495B1
O75607	Q8N9F0
Q14094	Q6UXU6
P42126	Q9Y6W3
P41161	P99999
P63096	Q6ZT89
Q9Y6J0	Q5TAA0
Q13797	A6NI61
P21217	Q9H3H5
Q01954	Q99643
Q8IVL1	Q8WU20
P45984	O76038
Q8IU68	Q9UKA1
Q8IUR5	Q9BQ08
Q6ZMB0	Q6ZMK1
Q8NGS0	P20155
Q9Y4Z2	Q8TAV5
Q9H091	Q075Z2
P17480	Q5T4I8
O00591	Q6URK8
Q9P2G4	Q7Z4Y8
Q8IW92	Q9H8U3
P54252	Q69YZ2
Q8IY37	Q15554
Q13895	Q8NFZ6
Q8TET4	Q86XL3
Q8WVN8	Q5GAN3
Q7Z5U6	Q537H7
Q9UID6	A6PVL3
O94929	O43638
Q9C0K3	Q7Z769
Q8NBR6	O75607
Q9H4Z2	Q6PJT7
Q5JXM2	Q8IXQ9
Q8NHJ6	Q14145
P26358	Q9Y561
O43663	Q53QV2
Q9UBC1	P01241
Q9NZJ6	O60641
Q685J3	Q8NGC5
Q9BSJ8	O43924
O00757	Q96H79
O95248	Q96HJ3
Q8WTT2	O14829
Q8WXR4	Q6NT16
A0AV96	O43772
Q6NVV3	Q9BW72
Q8TEW0	C9JLJ4
Q7Z5B4	Q9H9Q2
Q9NP78	O00757
B2RXH4	P60153
P54855	Q96T91
Q96C34	Q96R27
Q6ZT89	P02655
Q8IYS2	P07205
O95256	Q9BYD3
Q9C000	Q4L235
O94956	Q7Z3K6
Q969V3	O76009
P04217	Q8TCX1
A8MT70	Q8IZJ0
Q8NGD4	P25685
E9PJI5	Q9UBC5
O95390	O60829
P17050	F2Z333
Q6UX15	P51884
Q9NR20	O15204
P85037	Q6ZVT6
Q15615	Q9Y399
Q92918	Q53H47
Q96AV8	P52951
Q8TDN1	Q6ZTW0
P78509	P19526
Q5JQC9	P12645
Q2HXU8	O14543
Q9UN70	P80075
Q15027	P12757
Q99645	Q9NVH6
Q5VT98	Q8NDH6
Q00341	Q96T88
P01189	Q8WXF3
Q9H7F0	Q96BR6
Q68CP4	P49758
Q8IYA6	Q9UEE9
B1ANS9	O95760
Q08ER8	Q96NJ5
Q8NB12	P07288
Q9Y2A4	Q8N801
P21912	P00846
Q12947	P22891
Q99698	Q8N9N7
Q8N165	Q53FA7
O76082	Q6NXR0
Q6ZN79	Q8N690
Q00597	Q9H008
Q5K4L6	Q53RE8
P33897	Q8NHP8
Q8N2W9	P01034
Q12968	Q8WYQ5
Q9BXB4	Q8N8Q3
Q8WXI3	O00399
Q8IZ13	Q96EY9
P10635	O00300
Q96R08	Q7Z4L9
O15118	Q06033
O94864	P63272
Q8NBP0	Q9Y287
Q93050	Q8N326
Q96I99	P78543
Q9NYT0	Q86XT2
Q5VW36	Q5W064
Q9Y6A1	P56270
A8K4G0	O95999
Q8IVW8	Q6RFH5
Q6GPI1	H3BR10
Q9C0H5	Q13478
Q9H8H2	Q9BXI9
Q969U6	P49189
P0CJ73	P04201
Q8NDA8	Q9NXB0
Q6ZQX7	Q86VR8
O60832	Q7Z7K0
P40238	Q6IF00
P78426	B9EJG8
Q9BRD0	P61604
Q9BUH6	Q3LHN0
Q13946	P52298
Q38SD2	Q969X5
Q13217	P10075
Q9UHC3	Q8N0Y2
P41597	Q969Q4
Q9ULF5	Q5SSJ5
Q86VW2	Q86WS5
Q99424	O15544
O00451	Q7Z5S9
Q96R28	O95445
Q9Y2J0	Q9Y225
Q99424	Q9HA77
Q8N3E9	Q9BZX4
Q01814	Q5SNT2
Q9UKX5	Q6ZPB5
Q8TCT8	Q5SRE5
P49588	Q5HYI8
Q6NZY4	Q5TZ20
P56524	Q96DR5
P48169	Q12926
Q8N1T3	Q8N7R1
P00450	Q86XL3
Q8TD57	Q8NH67
Q8NH73	Q9Y314
P0C0L4	Q6P1R4
Q9NW13	Q7Z4G4
Q8IZ73	Q9Y337
Q8TAG9	Q155Q3
P51811	Q9H8U3
Q8IVU3	Q8WTR4
Q9UPI3	Q2M3R5
Q5TC04	Q9Y5L4
P28289	Q9BRF8
Q9H892	Q969J5
Q8NCS7	Q5JRM2
Q8TC36	Q13901
Q6ZNM6	Q5T1S8
Q8TDN1	Q9Y3E5
Q99469	Q9P2T1
A1A5B4	Q6GPI1
Q8N370	Q96HU8
P43403	Q6IEV9
Q86W92	P49419
Q9NVW2	O00591
Q06481	Q9NZH5
O14525	Q6UXS0
P32926	Q96QI5
O95455	Q12904
Q9NWR8	O15127
Q16549	Q5GH77
P55197	Q8N118
Q9BVS4	O60513
Q5UCC4	O43676
Q6ZUX3	Q7Z444
Q9H2S5	Q6P1L8
Q8N0Z3	Q7Z309
Q96AX9	Q71RS6
Q8WZ79	Q02978
Q10570	O15270
A3KMH1	P07988
Q6NSJ2	P04554
Q5JU69	Q96C90
Q8TEQ0	Q9Y2G5
Q01814	O14569
A2RU48	P62316
Q02509	Q9BXJ7
P17342	Q14714
Q96RR4	Q13253
O75995	Q16873
Q8N594	Q0P6D2
Q7Z6K3	Q70UQ0
Q969V3	Q6P4F2
Q76LX8	Q5SSJ5
Q99814	Q9BVP2
Q96HJ3	Q969Q4
Q12968	Q86VX9
P47881	Q9UJZ1
Q8NA31	Q6ZNE9
Q9NYP3	Q9BSK0
O94956	Q9NUZ1
Q86V21	O00182
Q8WXI9	Q969T7
Q9BRJ2	Q8NG76
Q53GL7	Q8TCY9
Q13873	Q9Y5S9
Q86UP0	P13762
Q2TB18	Q86U42
A2RU67	P05109
Q99956	Q9BZM4
Q14671	Q12834
Q9ULC8	Q96H79
Q8WYK1	P35325
Q9HCI6	Q6NVY1
O75155	Q5SWA1
Q8NHP8	Q9NPA0
Q12912	P42677
P31273	Q99801
Q93009	P0C7Q2
Q687X5	Q8NE22
Q9BXY5	Q5VU92
Q86YC3	P35326
Q9UQV4	Q9BZW5
Q96MT7	Q9H1Z8
O94827	Q96NM4
Q9UPP2	Q5H9R7
Q9NVD7	Q9H1D9
Q9BXJ7	Q9UM13
Q8N7W2	Q6ZSJ9
P46199	Q14439
P49961	A1L429
Q96N64	Q6PK04
Q9P2Q2	O95453
Q9BQE6	Q8N8I0
P55317	P56181
Q99946	Q9Y6I8
Q96M34	Q6J9G0
Q8N7I0	Q13241
Q9BUG6	D6RBM5
Q96F45	P58062
Q8NFP9	Q13261
O75533	O75838
O94762	P31268
P30260	Q6UWT2
Q8NC60	A6NMS3
Q16288	Q9H9Y4
Q9NV66	Q99684
Q02297	Q8NGQ3
Q9NZN5	Q3LIE5
Q6UXB0	Q5VT40
Q86VZ5	P01242
Q17RS7	P08949
Q96JC1	P42680
Q8TD55	Q8IU99
Q99500	O60888
Q9UMS6	Q08AG5
Q16875	Q96RB7
Q8WZ92	Q13291
P48449	Q9UNX9
P35579	Q13586
Q9H479	P01210
A7MCY6	Q9NVN3
Q9BY12	P60673
Q6ZS17	P54922
Q96DN5	O43612
Q92681	Q8TCE6
Q15124	P55064
O94886	Q5JTB6
O94830	Q8TDM0
O94822	Q96DZ1
Q6PCE3	Q3C1V0
Q9ULT0	Q9BWU0
Q14692	Q5M9Q1
P29274	Q86W42
Q8WWV6	Q9BXN6
Q13873	Q96B77
P16473	Q64LD2
Q8TF76	Q92530
A4D1E1	Q8NEG0
Q01814	O75936
Q6ZS11	Q6ZP82
Q9Y4L1	Q16626
Q9BQY9	Q9H114
Q9NP74	Q9NPD8
Q86V40	Q86WC4
P42892	Q8N6H7
Q9HBG7	O60927
Q9UEF7	Q8IXE1
Q8TDB6	P28566
Q9BXC0	Q96PU8
Q99835	Q9HCU5
Q5XKK7	O00230
A8K8P3	Q9BV29
P10912	Q99733
Q6UY01	A8MZ97
Q06190	Q6ZN66
P48739	Q5VTL7
Q9Y6X8	Q92733
Q96PZ0	P36383
A1L3X0	Q63HM1
P05455	Q5U3C3
O95255	Q8NES3
Q11203	Q8NFR3
Q9Y5H5	Q8NFZ8
Q96C55	P12270
O60494	Q92733
O43933	Q9Y2X0
P47974	P0CW21
O60548	Q8NCR3
Q9BYP7	Q9ULC0
Q6ZUT6	Q8IYK2
Q8IWF9	P20827
Q15814	Q9Y657
Q8N1L9	H3BQJ8
P22223	Q8N554
Q9NVV0	P17482
Q13286	O75394
Q8WZ69	P59942
O43736	O14683
Q5SQQ9	Q96EL1
Q9BWG4	Q8WZ04
Q8TDW7	Q9H9Q4
Q68DD2	P31146
Q15345	P63272
Q9HCE3	Q9UKY4
O95834	Q6P2D8
Q3LI64	Q5TEC3
Q86UC2	Q8NG76
Q9HAP2	Q5VVB8
Q9H469	P51124
P78504	P58180
Q86UP6	Q9UK11
P10523	Q9NNX9
Q9UPV9	Q6UWF9
Q9UMZ2	P30301
Q9UGL9	C9JCN9
P54296	P34820
Q7KZ85	Q13469
Q9Y490	A6XGL0
Q9BXI3	Q6ZUT1
Q13873	P11387
Q9BYQ4	P54819
Q92854	Q13319
P01023	P25106
Q9BZC7	Q5VZK9
Q12800	Q8NGJ8
Q8TAG9	Q9NTX5
P12236	Q9UHR5
Q9GZY0	Q9H6D3
P49619	P61024
Q4G0F5	Q96DE9
P0C7M8	P04080
Q96AJ1	O15205
Q86VV8	Q9Y2M0
Q96PN7	Q8IVJ8
Q9HAE3	Q9P021
Q75QN2	Q9H668
Q02880	Q96DE5
Q13237	Q8IZM8
P25116	P17676
Q8TC76	Q9P0P0
P20916	P0CJ90
Q9NP77	Q6P582
Q6PCB5	Q8N7P1
P78386	Q12800
Q9BPU6	O95969
Q13873	Q8NB42
P09972	Q5VZV1
Q8NCU4	Q9UBF9
Q96C10	P09681
O60240	P28336
Q9HCE1	Q96DD0
Q96N66	Q96D42
Q8WVF5	P09669
Q16553	Q5DT21
A2A2Y4	Q92561
Q8TF72	Q5JU67
Q709F0	O14756
P78348	A2RUC4
Q9NVU7	Q86VZ1
Q5VT79	Q86VD9
Q9UN79	P01344
O43921	Q8NDY8
Q96P26	Q16552
Q9H1A4	Q8IWD4
P06730	Q9UM13
P30518	Q96KN9
Q9BWU0	Q92583
Q8N184	O43680
Q76M96	Q16134
Q9NXC2	Q8TCC3
P0CJ92	P19099
Q13888	P02743
Q9BX10	Q9P2X0
Q9UGP8	O94900
Q9UG56	Q9NPF0
Q9Y4P3	P04180
Q9HCM7	Q9HCN8
Q96C10	Q86X29
Q15034	Q92541
Q9P260	Q01780
Q8NGY1	Q9HB71
Q8N3R3	Q3C1V1
Q9P2D8	A1A519
Q8N6U8	P49591
Q8IVF7	Q6ZU67
P05543	Q8WUD4
P25440	Q6ZMI0
Q14C87	O14569
Q99436	Q9NRM7
Q9Y3P4	Q8IUE0
Q96KP4	Q495Z4
Q8N1G1	O96008
Q9NPH5	Q53H82
A6NDY0	O95452
Q14643	Q4W4Y0
Q9BXA9	Q9Y5Z7
Q6ZS86	Q13705
P54750	Q99689
Q96PU4	Q9UHF0
Q8NB16	Q92858
Q6DN90	P55211
Q96CP6	Q9H0P0
A7E2U8	P62917
Q5TEA6	P29558
Q07021	P20396
Q5JYT7	Q9GZT4
P36268	Q8WY41
Q9BZZ5	Q96SW2
P14735	Q86WQ0
Q9BWN1	P41091
P22415	Q8NEQ5
Q9Y4X0	Q9HCT0
Q562E7	Q7L014
Q9H313	A8K5M9
P19075	P10966
O14901	Q96QR1
O43173	Q9H1E1
Q9HBE5	Q92826
Q9BZ76	P07741
P51681	O60829
Q86V87	Q96F25
P69849	Q9NRW4
Q92508	O95876
Q00005	P22090
P48664	Q6ZN79
P26599	B2RD01
Q9HA64	Q9HD33
Q8IYJ2	Q9Y2B2
P47901	P34982
Q6R327	Q8N2X6
Q96IZ6	Q9UJK0
Q8N6Y1	Q96NL8
Q6ZUS5	Q9NPD8
Q9H930	O76054
Q8IZF5	Q9UMS5
Q9P246	Q969F8
Q9BXU7	Q96IY4
Q9H0B8	Q99679
Q6ZQQ6	Q9Y5W8
Q8NER1	P35575
Q96MM6	P62750
Q8NET6	P41732
Q96NI6	O14524
B2RXH4	H7C350
Q9HAU5	O00411
M0R207	P33316
Q8TF76	Q9BVT8
Q13111	P78426
Q96BY6	Q2VPA4
Q13433	P78545
Q32MK0	Q8IZS8
Q93063	Q8NEL0
Q9H201	Q5TA50
Q96EK5	P0C7M6
Q96HW7	Q9NUQ8
Q92630	P12236
Q99726	Q5TC63
Q9HDC9	Q96BK5
Q7Z7H8	Q9UK76
O75306	Q9NS75
O75689	Q9Y266
Q2WEN9	Q8NAV2
P27816	Q6FIF0
P16615	F5H4A9
O00748	Q96MR7
Q9BV44	Q8TBF5
Q9H628	Q8N2U0
P12268	Q9Y5I7
P30953	O95750
Q8NE65	P62072
Q8IZ08	Q9H346
O94812	Q9BUJ0
Q5TCZ1	Q9NYM9
Q08499	Q9Y330
Q7Z6J8	Q96IW2
Q93050	Q9H9P2
Q5JSL3	Q6ZSI9
Q6AW86	Q5T8I3
Q9BRP1	Q8TDS7
Q9UPN6	P13224
Q8NFH4	P55008
Q5T1A1	Q8IYM9
Q96LP6	Q9Y6G3
Q6T4R5	Q92834
Q8TD91	O75570
Q8NBN3	Q16651
Q8NGR6	P41247
Q8IW19	Q96HE9
Q86UZ6	Q9Y2C2
O94822	Q70Z35
A6NGB7	Q9HD89
Q9H4B4	Q9NY97
Q96CW5	P31040
Q9NP58	P51693
Q9BR46	Q8N2K1
Q8NGJ0	Q30KQ5
O94763	P21728
Q5U5X8	P53677
Q9UGM3	A2A2Y4
P22309	P40313
Q9GZK7	Q8N129
Q13488	Q96HD9
Q5JU67	Q96PG8
Q8N0Z3	Q53EU6
Q8IWF6	Q5XKL5
Q5VYJ5	Q53GG5
Q9NXP7	P28336
Q9C0I9	P23560
Q6NXP6	Q8N6N7
Q5XXA6	Q96D46
Q96MR6	Q96L21
Q9UJP4	P22748
Q9UPZ6	Q8NBX0
Q96IU2	Q7RTV0
P10074	Q969M2
Q14451	Q92546
Q86WT1	Q9BQ16
Q8NDB2	O75347
P36269	A6NH57
Q9BY12	Q13326
Q8TEJ3	O76100
Q13148	Q14376
P27635	Q9NUS5
A5PLN7	Q8NGJ5
Q8TBJ5	Q9NWM3
Q14032	O75900
O95977	Q8NGH9
